date,order_id,product,category,region,quantity,unit_price,total_amount
2024-01-01,ORD-001001,Noise-Canceling Headphones,Audio,South,3,508.18,1524.54
2024-01-02,ORD-001002,Smart Display,Smart Home,North,2,435.58,871.16
2024-01-02,ORD-001003,AR Glasses,Wearables,West,3,1451.97,4355.91
2024-01-02,ORD-001004,Webcam,Accessories,North,1,217.78,217.78
2024-01-04,ORD-001005,Fitness Tracker,Wearables,East,3,362.98,1088.94
2024-01-04,ORD-001006,Laptop Pro,Electronics,West,3,1887.57,5662.71
2024-01-05,ORD-001007,AR Glasses,Wearables,North,2,1451.97,2903.94
2024-01-05,ORD-001008,Smart Thermostat,Smart Home,East,1,362.98,362.98
2024-01-05,ORD-001009,Projector,Electronics,North,2,1161.58,2323.16
2024-01-06,ORD-001010,USB-C Hub,Accessories,South,3,116.14,348.42
2024-01-08,ORD-001011,Smart Ring,Wearables,East,1,580.78,580.78
2024-01-10,ORD-001012,Webcam,Accessories,North,3,217.78,653.34
2024-01-11,ORD-001013,AR Glasses,Wearables,West,3,1451.97,4355.91
2024-01-13,ORD-001014,Smart Ring,Wearables,East,3,580.78,1742.34
2024-01-13,ORD-001015,Gaming Mouse,Accessories,West,1,145.18,145.18
2024-01-14,ORD-001016,Robot Vacuum,Smart Home,East,3,725.98,2177.94
2024-01-16,ORD-001017,Smart Thermostat,Smart Home,East,1,362.98,362.98
2024-01-17,ORD-001018,Fitness Tracker,Wearables,East,2,362.98,725.96
2024-01-17,ORD-001019,Smart Hub,Smart Home,South,2,290.38,580.76
2024-01-17,ORD-001020,External SSD,Accessories,South,3,188.74,566.22
2024-01-19,ORD-001021,4K Smart TV,Electronics,East,3,1306.77,3920.31
2024-01-20,ORD-001022,Gaming PC,Electronics,East,3,2613.56,7840.68
2024-01-21,ORD-001023,Soundbar,Audio,North,1,1161.58,1161.58
2024-01-21,ORD-001024,Gaming PC,Electronics,North,2,2613.56,5227.12
2024-01-22,ORD-001025,Smart Hub,Smart Home,South,3,290.38,871.14
2024-01-23,ORD-001026,Smart Hub,Smart Home,South,2,290.38,580.76
2024-01-23,ORD-001027,Noise-Canceling Headphones,Audio,West,1,508.18,508.18
2024-01-24,ORD-001028,Soundbar,Audio,West,3,1161.58,3484.74
2024-01-25,ORD-001029,Monitor,Electronics,North,1,725.98,725.98
2024-01-26,ORD-001030,Robot Vacuum,Smart Home,East,2,725.98,1451.96
2024-01-26,ORD-001031,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-01-27,ORD-001032,External SSD,Accessories,West,1,188.74,188.74
2024-01-28,ORD-001033,Smart Display,Smart Home,East,1,435.58,435.58
2024-01-29,ORD-001034,External SSD,Accessories,South,3,188.74,566.22
2024-01-30,ORD-001035,Smart Ring,Wearables,East,1,580.78,580.78
2024-01-30,ORD-001036,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-01-30,ORD-001037,Mechanical Keyboard,Accessories,South,1,290.38,290.38
2024-01-30,ORD-001038,Studio Speakers,Audio,South,3,871.18,2613.54
2024-01-31,ORD-001039,Noise-Canceling Headphones,Audio,West,2,508.18,1016.36
2024-01-31,ORD-001040,Smart Ring,Wearables,North,2,580.78,1161.56
2024-02-01,ORD-001041,Studio Speakers,Audio,North,2,871.18,1742.36
2024-02-01,ORD-001042,External SSD,Accessories,North,2,188.74,377.48
2024-02-02,ORD-001043,AR Glasses,Wearables,West,2,1451.97,2903.94
2024-02-02,ORD-001044,Laptop Stand,Accessories,South,3,87.1,261.3
2024-02-03,ORD-001045,Robot Vacuum,Smart Home,West,2,725.98,1451.96
2024-02-04,ORD-001046,Security System,Smart Home,East,2,871.18,1742.36
2024-02-04,ORD-001047,Robot Vacuum,Smart Home,South,2,725.98,1451.96
2024-02-05,ORD-001048,USB-C Hub,Accessories,West,1,116.14,116.14
2024-02-05,ORD-001049,USB-C Hub,Accessories,North,3,116.14,348.42
2024-02-05,ORD-001050,Projector,Electronics,South,2,1161.58,2323.16
2024-02-05,ORD-001051,Robot Vacuum,Smart Home,East,1,725.98,725.98
2024-02-06,ORD-001052,Smart Display,Smart Home,West,1,435.58,435.58
2024-02-06,ORD-001053,AR Glasses,Wearables,East,2,1451.97,2903.94
2024-02-06,ORD-001054,Smart Display,Smart Home,West,1,435.58,435.58
2024-02-07,ORD-001055,Projector,Electronics,North,3,1161.58,3484.74
2024-02-07,ORD-001056,Fitness Tracker,Wearables,North,3,362.98,1088.94
2024-02-08,ORD-001057,Laptop Pro,Electronics,South,1,1887.57,1887.57
2024-02-08,ORD-001058,Monitor,Electronics,South,1,725.98,725.98
2024-02-10,ORD-001059,Studio Speakers,Audio,North,3,871.18,2613.54
2024-02-10,ORD-001060,Gaming Mouse,Accessories,East,2,145.18,290.36
2024-02-10,ORD-001061,Fitness Tracker,Wearables,North,3,362.98,1088.94
2024-02-11,ORD-001062,Wireless Earbuds,Audio,North,1,362.98,362.98
2024-02-11,ORD-001063,Smart Ring,Wearables,South,2,580.78,1161.56
2024-02-13,ORD-001064,Monitor,Electronics,South,3,725.98,2177.94
2024-02-14,ORD-001065,Projector,Electronics,North,2,1161.58,2323.16
2024-02-16,ORD-001066,Mechanical Keyboard,Accessories,West,2,290.38,580.76
2024-02-17,ORD-001067,Smart Watch,Wearables,East,3,653.38,1960.14
2024-02-17,ORD-001068,Tablet,Electronics,North,2,1016.38,2032.76
2024-02-17,ORD-001069,Smart Display,Smart Home,West,3,435.58,1306.74
2024-02-17,ORD-001070,Studio Speakers,Audio,East,1,871.18,871.18
2024-02-18,ORD-001071,USB-C Hub,Accessories,West,2,116.14,232.28
2024-02-19,ORD-001072,Smart Thermostat,Smart Home,East,2,362.98,725.96
2024-02-19,ORD-001073,Noise-Canceling Headphones,Audio,West,2,508.18,1016.36
2024-02-20,ORD-001074,Studio Speakers,Audio,West,3,871.18,2613.54
2024-02-20,ORD-001075,Smart Watch,Wearables,East,2,653.38,1306.76
2024-02-21,ORD-001076,Studio Speakers,Audio,East,1,871.18,871.18
2024-02-21,ORD-001077,AR Glasses,Wearables,East,2,1451.97,2903.94
2024-02-22,ORD-001078,Mechanical Keyboard,Accessories,South,3,290.38,871.14
2024-02-22,ORD-001079,Gaming PC,Electronics,West,3,2613.56,7840.68
2024-02-22,ORD-001080,Smart Thermostat,Smart Home,West,1,362.98,362.98
2024-02-23,ORD-001081,Smart Hub,Smart Home,North,1,290.38,290.38
2024-02-24,ORD-001082,Fitness Tracker,Wearables,South,2,362.98,725.96
2024-02-24,ORD-001083,AR Glasses,Wearables,East,2,1451.97,2903.94
2024-02-25,ORD-001084,Smart Thermostat,Smart Home,East,2,362.98,725.96
2024-02-25,ORD-001085,Smart Display,Smart Home,East,2,435.58,871.16
2024-02-26,ORD-001086,Noise-Canceling Headphones,Audio,South,3,508.18,1524.54
2024-02-27,ORD-001087,Smart Watch,Wearables,South,3,653.38,1960.14
2024-02-27,ORD-001088,Soundbar,Audio,West,3,1161.58,3484.74
2024-02-27,ORD-001089,AR Glasses,Wearables,South,1,1451.97,1451.97
2024-02-27,ORD-001090,Fitness Tracker,Wearables,South,2,362.98,725.96
2024-02-28,ORD-001091,Smart Watch,Wearables,South,3,653.38,1960.14
2024-02-29,ORD-001092,Smart Watch,Wearables,East,1,653.38,653.38
2024-03-02,ORD-001093,Studio Speakers,Audio,North,1,871.18,871.18
2024-03-02,ORD-001094,Webcam,Accessories,West,2,217.78,435.56
2024-03-04,ORD-001095,Smart Display,Smart Home,North,1,435.58,435.58
2024-03-05,ORD-001096,Smart Ring,Wearables,North,1,580.78,580.78
2024-03-06,ORD-001097,Smart Hub,Smart Home,North,1,290.38,290.38
2024-03-06,ORD-001098,Soundbar,Audio,East,3,1161.58,3484.74
2024-03-07,ORD-001099,Gaming PC,Electronics,West,1,2613.56,2613.56
2024-03-08,ORD-001100,USB-C Hub,Accessories,South,3,116.14,348.42
2024-03-08,ORD-001101,External SSD,Accessories,West,2,188.74,377.48
2024-03-08,ORD-001102,Smart Ring,Wearables,North,2,580.78,1161.56
2024-03-09,ORD-001103,Laptop Stand,Accessories,South,1,87.1,87.1
2024-03-11,ORD-001104,Wireless Earbuds,Audio,North,3,362.98,1088.94
2024-03-12,ORD-001105,Soundbar,Audio,North,1,1161.58,1161.58
2024-03-12,ORD-001106,Noise-Canceling Headphones,Audio,West,2,508.18,1016.36
2024-03-12,ORD-001107,External SSD,Accessories,North,2,188.74,377.48
2024-03-14,ORD-001108,Wireless Earbuds,Audio,East,3,362.98,1088.94
2024-03-16,ORD-001109,Security System,Smart Home,South,3,871.18,2613.54
2024-03-17,ORD-001110,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-03-19,ORD-001111,Gaming Mouse,Accessories,South,3,145.18,435.54
2024-03-19,ORD-001112,Fitness Tracker,Wearables,North,1,362.98,362.98
2024-03-20,ORD-001113,Wireless Earbuds,Audio,East,3,362.98,1088.94
2024-03-20,ORD-001114,Security System,Smart Home,East,2,871.18,1742.36
2024-03-20,ORD-001115,Smart Display,Smart Home,West,3,435.58,1306.74
2024-03-20,ORD-001116,Security System,Smart Home,North,3,871.18,2613.54
2024-03-21,ORD-001117,Smart Display,Smart Home,East,3,435.58,1306.74
2024-03-21,ORD-001118,Laptop Pro,Electronics,North,1,1887.57,1887.57
2024-03-21,ORD-001119,Smart Watch,Wearables,West,1,653.38,653.38
2024-03-22,ORD-001120,Laptop Stand,Accessories,East,2,87.1,174.2
2024-03-22,ORD-001121,Bluetooth Speaker,Audio,West,2,290.38,580.76
2024-03-22,ORD-001122,Tablet,Electronics,West,2,1016.38,2032.76
2024-03-23,ORD-001123,AR Glasses,Wearables,North,3,1451.97,4355.91
2024-03-23,ORD-001124,Wireless Earbuds,Audio,West,2,362.98,725.96
2024-03-24,ORD-001125,Smart Ring,Wearables,North,3,580.78,1742.34
2024-03-24,ORD-001126,Security System,Smart Home,East,2,871.18,1742.36
2024-03-24,ORD-001127,Smart Watch,Wearables,North,2,653.38,1306.76
2024-03-25,ORD-001128,External SSD,Accessories,North,2,188.74,377.48
2024-03-25,ORD-001129,Bluetooth Speaker,Audio,West,2,290.38,580.76
2024-03-26,ORD-001130,Security System,Smart Home,East,1,871.18,871.18
2024-03-28,ORD-001131,Gaming Mouse,Accessories,West,2,145.18,290.36
2024-03-31,ORD-001132,Security System,Smart Home,South,1,871.18,871.18
2024-04-01,ORD-001133,Wireless Earbuds,Audio,North,3,362.98,1088.94
2024-04-01,ORD-001134,External SSD,Accessories,South,1,188.74,188.74
2024-04-03,ORD-001135,Tablet,Electronics,South,1,1016.38,1016.38
2024-04-05,ORD-001136,Smart Display,Smart Home,East,3,435.58,1306.74
2024-04-07,ORD-001137,Smart Hub,Smart Home,South,2,290.38,580.76
2024-04-07,ORD-001138,Smart Thermostat,Smart Home,West,1,362.98,362.98
2024-04-07,ORD-001139,Bluetooth Speaker,Audio,South,3,290.38,871.14
2024-04-08,ORD-001140,4K Smart TV,Electronics,East,2,1306.77,2613.54
2024-04-08,ORD-001141,Webcam,Accessories,East,1,217.78,217.78
2024-04-11,ORD-001142,Smart Ring,Wearables,West,1,580.78,580.78
2024-04-11,ORD-001143,External SSD,Accessories,East,2,188.74,377.48
2024-04-12,ORD-001144,USB-C Hub,Accessories,West,2,116.14,232.28
2024-04-12,ORD-001145,Fitness Tracker,Wearables,South,3,362.98,1088.94
2024-04-14,ORD-001146,External SSD,Accessories,West,1,188.74,188.74
2024-04-14,ORD-001147,4K Smart TV,Electronics,West,3,1306.77,3920.31
2024-04-17,ORD-001148,Smart Hub,Smart Home,South,3,290.38,871.14
2024-04-17,ORD-001149,Security System,Smart Home,East,1,871.18,871.18
2024-04-17,ORD-001150,Tablet,Electronics,West,1,1016.38,1016.38
2024-04-18,ORD-001151,Projector,Electronics,West,1,1161.58,1161.58
2024-04-18,ORD-001152,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-04-18,ORD-001153,Smart Ring,Wearables,North,3,580.78,1742.34
2024-04-19,ORD-001154,Smart Ring,Wearables,West,2,580.78,1161.56
2024-04-19,ORD-001155,Mechanical Keyboard,Accessories,North,3,290.38,871.14
2024-04-19,ORD-001156,Wireless Earbuds,Audio,North,1,362.98,362.98
2024-04-20,ORD-001157,Security System,Smart Home,North,3,871.18,2613.54
2024-04-21,ORD-001158,Robot Vacuum,Smart Home,East,3,725.98,2177.94
2024-04-21,ORD-001159,Laptop Pro,Electronics,North,2,1887.57,3775.14
2024-04-22,ORD-001160,AR Glasses,Wearables,West,2,1451.97,2903.94
2024-04-22,ORD-001161,Soundbar,Audio,West,3,1161.58,3484.74
2024-04-22,ORD-001162,Laptop Stand,Accessories,South,1,87.1,87.1
2024-04-22,ORD-001163,Noise-Canceling Headphones,Audio,West,3,508.18,1524.54
2024-04-23,ORD-001164,Laptop Stand,Accessories,West,1,87.1,87.1
2024-04-24,ORD-001165,Gaming Mouse,Accessories,West,1,145.18,145.18
2024-04-25,ORD-001166,Smart Ring,Wearables,North,2,580.78,1161.56
2024-04-26,ORD-001167,Smart Display,Smart Home,South,3,435.58,1306.74
2024-04-26,ORD-001168,Tablet,Electronics,East,2,1016.38,2032.76
2024-04-27,ORD-001169,Smart Display,Smart Home,East,2,435.58,871.16
2024-04-27,ORD-001170,Studio Speakers,Audio,North,2,871.18,1742.36
2024-04-27,ORD-001171,Studio Speakers,Audio,East,3,871.18,2613.54
2024-04-29,ORD-001172,Webcam,Accessories,East,3,217.78,653.34
2024-04-29,ORD-001173,Projector,Electronics,East,2,1161.58,2323.16
2024-04-30,ORD-001174,Monitor,Electronics,North,3,725.98,2177.94
2024-05-01,ORD-001175,Laptop Stand,Accessories,East,2,87.1,174.2
2024-05-01,ORD-001176,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-05-01,ORD-001177,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-05-02,ORD-001178,Projector,Electronics,North,3,1161.58,3484.74
2024-05-02,ORD-001179,Smart Ring,Wearables,East,1,580.78,580.78
2024-05-03,ORD-001180,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-05-04,ORD-001181,Robot Vacuum,Smart Home,South,1,725.98,725.98
2024-05-05,ORD-001182,Webcam,Accessories,East,3,217.78,653.34
2024-05-05,ORD-001183,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-05-05,ORD-001184,Smart Watch,Wearables,North,2,653.38,1306.76
2024-05-06,ORD-001185,Soundbar,Audio,West,3,1161.58,3484.74
2024-05-06,ORD-001186,Webcam,Accessories,West,1,217.78,217.78
2024-05-06,ORD-001187,4K Smart TV,Electronics,North,3,1306.77,3920.31
2024-05-07,ORD-001188,Smart Display,Smart Home,East,3,435.58,1306.74
2024-05-07,ORD-001189,External SSD,Accessories,East,3,188.74,566.22
2024-05-07,ORD-001190,Projector,Electronics,West,1,1161.58,1161.58
2024-05-07,ORD-001191,Monitor,Electronics,East,3,725.98,2177.94
2024-05-08,ORD-001192,Gaming Mouse,Accessories,North,3,145.18,435.54
2024-05-08,ORD-001193,Smart Display,Smart Home,West,3,435.58,1306.74
2024-05-13,ORD-001194,Gaming PC,Electronics,North,1,2613.56,2613.56
2024-05-14,ORD-001195,Smart Ring,Wearables,North,1,580.78,580.78
2024-05-14,ORD-001196,Bluetooth Speaker,Audio,West,1,290.38,290.38
2024-05-14,ORD-001197,Smart Display,Smart Home,West,3,435.58,1306.74
2024-05-15,ORD-001198,Laptop Stand,Accessories,South,3,87.1,261.3
2024-05-15,ORD-001199,Security System,Smart Home,West,2,871.18,1742.36
2024-05-15,ORD-001200,Smart Watch,Wearables,East,3,653.38,1960.14
2024-05-15,ORD-001201,Studio Speakers,Audio,South,2,871.18,1742.36
2024-05-15,ORD-001202,Smart Watch,Wearables,East,3,653.38,1960.14
2024-05-15,ORD-001203,Laptop Stand,Accessories,North,2,87.1,174.2
2024-05-15,ORD-001204,Smart Display,Smart Home,North,1,435.58,435.58
2024-05-15,ORD-001205,Security System,Smart Home,South,3,871.18,2613.54
2024-05-16,ORD-001206,Mechanical Keyboard,Accessories,East,1,290.38,290.38
2024-05-16,ORD-001207,Soundbar,Audio,South,3,1161.58,3484.74
2024-05-16,ORD-001208,Monitor,Electronics,South,1,725.98,725.98
2024-05-17,ORD-001209,Wireless Earbuds,Audio,North,1,362.98,362.98
2024-05-18,ORD-001210,Fitness Tracker,Wearables,East,1,362.98,362.98
2024-05-19,ORD-001211,Noise-Canceling Headphones,Audio,North,3,508.18,1524.54
2024-05-20,ORD-001212,Noise-Canceling Headphones,Audio,South,2,508.18,1016.36
2024-05-21,ORD-001213,Webcam,Accessories,South,1,217.78,217.78
2024-05-22,ORD-001214,Smart Watch,Wearables,West,1,653.38,653.38
2024-05-22,ORD-001215,Mechanical Keyboard,Accessories,North,3,290.38,871.14
2024-05-22,ORD-001216,Smart Hub,Smart Home,North,2,290.38,580.76
2024-05-22,ORD-001217,Smart Thermostat,Smart Home,North,1,362.98,362.98
2024-05-22,ORD-001218,Webcam,Accessories,North,2,217.78,435.56
2024-05-24,ORD-001219,Tablet,Electronics,West,2,1016.38,2032.76
2024-05-25,ORD-001220,Tablet,Electronics,West,3,1016.38,3049.14
2024-05-26,ORD-001221,Laptop Pro,Electronics,South,2,1887.57,3775.14
2024-05-28,ORD-001222,Gaming PC,Electronics,East,2,2613.56,5227.12
2024-05-30,ORD-001223,Smart Thermostat,Smart Home,East,3,362.98,1088.94
2024-05-30,ORD-001224,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-05-31,ORD-001225,Projector,Electronics,South,1,1161.58,1161.58
2024-06-01,ORD-001226,Smart Hub,Smart Home,West,1,290.38,290.38
2024-06-02,ORD-001227,Smart Ring,Wearables,West,2,580.78,1161.56
2024-06-02,ORD-001228,4K Smart TV,Electronics,East,2,1306.77,2613.54
2024-06-03,ORD-001229,AR Glasses,Wearables,West,1,1451.97,1451.97
2024-06-05,ORD-001230,Laptop Pro,Electronics,North,1,1887.57,1887.57
2024-06-06,ORD-001231,Security System,Smart Home,East,3,871.18,2613.54
2024-06-06,ORD-001232,Bluetooth Speaker,Audio,East,1,290.38,290.38
2024-06-08,ORD-001233,Tablet,Electronics,West,2,1016.38,2032.76
2024-06-09,ORD-001234,4K Smart TV,Electronics,East,3,1306.77,3920.31
2024-06-09,ORD-001235,Smart Watch,Wearables,South,3,653.38,1960.14
2024-06-10,ORD-001236,Studio Speakers,Audio,North,1,871.18,871.18
2024-06-10,ORD-001237,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-06-10,ORD-001238,Gaming Mouse,Accessories,North,2,145.18,290.36
2024-06-10,ORD-001239,Laptop Stand,Accessories,East,3,87.1,261.3
2024-06-14,ORD-001240,Gaming PC,Electronics,East,2,2613.56,5227.12
