date,order_id,product,category,region,quantity,unit_price,total_amount
2024-06-15,ORD-001241,AR Glasses,Wearables,South,1,1451.97,1451.97
2024-06-18,ORD-001242,Bluetooth Speaker,Audio,West,3,290.38,871.14
2024-06-19,ORD-001243,Gaming PC,Electronics,North,3,2613.56,7840.68
2024-06-19,ORD-001244,Projector,Electronics,South,3,1161.58,3484.74
2024-06-21,ORD-001245,Smart Hub,Smart Home,East,2,290.38,580.76
2024-06-22,ORD-001246,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-06-22,ORD-001247,USB-C Hub,Accessories,North,1,116.14,116.14
2024-06-23,ORD-001248,Soundbar,Audio,North,3,1161.58,3484.74
2024-06-23,ORD-001249,4K Smart TV,Electronics,West,2,1306.77,2613.54
2024-06-24,ORD-001250,Smart Thermostat,Smart Home,West,2,362.98,725.96
2024-06-25,ORD-001251,Fitness Tracker,Wearables,North,3,362.98,1088.94
2024-06-27,ORD-001252,Smart Ring,Wearables,East,1,580.78,580.78
2024-06-28,ORD-001253,External SSD,Accessories,East,3,188.74,566.22
2024-06-30,ORD-001254,Gaming PC,Electronics,North,2,2613.56,5227.12
2024-06-30,ORD-001255,Gaming PC,Electronics,South,2,2613.56,5227.12
2024-06-30,ORD-001256,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-07-02,ORD-001257,Laptop Pro,Electronics,West,2,1887.57,3775.14
2024-07-02,ORD-001258,Soundbar,Audio,South,2,1161.58,2323.16
2024-07-04,ORD-001259,USB-C Hub,Accessories,East,3,116.14,348.42
2024-07-04,ORD-001260,Tablet,Electronics,North,3,1016.38,3049.14
2024-07-04,ORD-001261,Security System,Smart Home,North,2,871.18,1742.36
2024-07-05,ORD-001262,Smart Ring,Wearables,West,3,580.78,1742.34
2024-07-05,ORD-001263,Smart Display,Smart Home,West,1,435.58,435.58
2024-07-08,ORD-001264,4K Smart TV,Electronics,West,1,1306.77,1306.77
2024-07-08,ORD-001265,Smart Watch,Wearables,North,2,653.38,1306.76
2024-07-08,ORD-001266,Studio Speakers,Audio,West,3,871.18,2613.54
2024-07-10,ORD-001267,Mechanical Keyboard,Accessories,East,2,290.38,580.76
2024-07-10,ORD-001268,Fitness Tracker,Wearables,South,2,362.98,725.96
2024-07-12,ORD-001269,Monitor,Electronics,North,3,725.98,2177.94
2024-07-13,ORD-001270,USB-C Hub,Accessories,East,1,116.14,116.14
2024-07-13,ORD-001271,Fitness Tracker,Wearables,North,1,362.98,362.98
2024-07-13,ORD-001272,Wireless Earbuds,Audio,South,1,362.98,362.98
2024-07-13,ORD-001273,Gaming Mouse,Accessories,North,3,145.18,435.54
2024-07-14,ORD-001274,Studio Speakers,Audio,West,2,871.18,1742.36
2024-07-14,ORD-001275,Laptop Stand,Accessories,East,3,87.1,261.3
2024-07-16,ORD-001276,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-07-18,ORD-001277,Smart Hub,Smart Home,East,3,290.38,871.14
2024-07-21,ORD-001278,Smart Watch,Wearables,North,2,653.38,1306.76
2024-07-21,ORD-001279,Smart Ring,Wearables,North,2,580.78,1161.56
2024-07-23,ORD-001280,4K Smart TV,Electronics,North,2,1306.77,2613.54
2024-07-23,ORD-001281,Monitor,Electronics,West,3,725.98,2177.94
2024-07-24,ORD-001282,Smart Thermostat,Smart Home,North,3,362.98,1088.94
2024-07-24,ORD-001283,Smart Thermostat,Smart Home,South,3,362.98,1088.94
2024-07-25,ORD-001284,Smart Ring,Wearables,South,3,580.78,1742.34
2024-07-25,ORD-001285,Tablet,Electronics,East,1,1016.38,1016.38
2024-07-27,ORD-001286,Monitor,Electronics,South,3,725.98,2177.94
2024-07-27,ORD-001287,Gaming PC,Electronics,West,3,2613.56,7840.68
2024-07-27,ORD-001288,Smart Thermostat,Smart Home,South,3,362.98,1088.94
2024-07-29,ORD-001289,AR Glasses,Wearables,West,2,1451.97,2903.94
2024-07-29,ORD-001290,Smart Display,Smart Home,North,3,435.58,1306.74
2024-07-30,ORD-001291,Smart Watch,Wearables,North,2,653.38,1306.76
2024-08-02,ORD-001292,Laptop Stand,Accessories,East,2,87.1,174.2
2024-08-02,ORD-001293,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-08-04,ORD-001294,Laptop Stand,Accessories,East,1,87.1,87.1
2024-08-04,ORD-001295,Smart Ring,Wearables,North,1,580.78,580.78
2024-08-04,ORD-001296,Smart Ring,Wearables,East,3,580.78,1742.34
2024-08-04,ORD-001297,Bluetooth Speaker,Audio,West,1,290.38,290.38
2024-08-04,ORD-001298,Webcam,Accessories,East,1,217.78,217.78
2024-08-04,ORD-001299,Fitness Tracker,Wearables,East,1,362.98,362.98
2024-08-04,ORD-001300,Robot Vacuum,Smart Home,South,1,725.98,725.98
2024-08-04,ORD-001301,Noise-Canceling Headphones,Audio,North,2,508.18,1016.36
2024-08-06,ORD-001302,USB-C Hub,Accessories,North,3,116.14,348.42
2024-08-07,ORD-001303,Fitness Tracker,Wearables,West,3,362.98,1088.94
2024-08-08,ORD-001304,Soundbar,Audio,South,1,1161.58,1161.58
2024-08-08,ORD-001305,Security System,Smart Home,East,2,871.18,1742.36
2024-08-10,ORD-001306,Studio Speakers,Audio,East,3,871.18,2613.54
2024-08-12,ORD-001307,Robot Vacuum,Smart Home,South,3,725.98,2177.94
2024-08-12,ORD-001308,Smart Ring,Wearables,East,1,580.78,580.78
2024-08-14,ORD-001309,External SSD,Accessories,East,2,188.74,377.48
2024-08-14,ORD-001310,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-08-17,ORD-001311,Soundbar,Audio,South,3,1161.58,3484.74
2024-08-17,ORD-001312,Smart Watch,Wearables,West,3,653.38,1960.14
2024-08-19,ORD-001313,Smart Watch,Wearables,North,3,653.38,1960.14
2024-08-20,ORD-001314,Smart Watch,Wearables,East,1,653.38,653.38
2024-08-20,ORD-001315,Smart Thermostat,Smart Home,West,1,362.98,362.98
2024-08-20,ORD-001316,Gaming PC,Electronics,East,2,2613.56,5227.12
2024-08-22,ORD-001317,Tablet,Electronics,West,1,1016.38,1016.38
2024-08-22,ORD-001318,Webcam,Accessories,West,1,217.78,217.78
2024-08-22,ORD-001319,4K Smart TV,Electronics,North,1,1306.77,1306.77
2024-08-23,ORD-001320,Smart Watch,Wearables,East,3,653.38,1960.14
2024-08-23,ORD-001321,Soundbar,Audio,East,1,1161.58,1161.58
2024-08-24,ORD-001322,Robot Vacuum,Smart Home,West,3,725.98,2177.94
2024-08-24,ORD-001323,Smart Thermostat,Smart Home,North,1,362.98,362.98
2024-08-27,ORD-001324,4K Smart TV,Electronics,South,1,1306.77,1306.77
2024-08-27,ORD-001325,Laptop Stand,Accessories,West,3,87.1,261.3
2024-08-28,ORD-001326,4K Smart TV,Electronics,East,1,1306.77,1306.77
2024-08-30,ORD-001327,Laptop Pro,Electronics,West,1,1887.57,1887.57
2024-08-30,ORD-001328,External SSD,Accessories,North,1,188.74,188.74
2024-08-31,ORD-001329,Smart Thermostat,Smart Home,North,3,362.98,1088.94
2024-09-01,ORD-001330,USB-C Hub,Accessories,South,1,116.14,116.14
2024-09-03,ORD-001331,Smart Ring,Wearables,East,1,580.78,580.78
2024-09-05,ORD-001332,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-09-05,ORD-001333,Monitor,Electronics,North,2,725.98,1451.96
2024-09-05,ORD-001334,USB-C Hub,Accessories,North,3,116.14,348.42
2024-09-06,ORD-001335,Smart Hub,Smart Home,West,1,290.38,290.38
2024-09-07,ORD-001336,AR Glasses,Wearables,North,3,1451.97,4355.91
2024-09-07,ORD-001337,Smart Watch,Wearables,South,2,653.38,1306.76
2024-09-09,ORD-001338,Monitor,Electronics,East,3,725.98,2177.94
2024-09-12,ORD-001339,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-09-13,ORD-001340,Studio Speakers,Audio,West,3,871.18,2613.54
2024-09-14,ORD-001341,Soundbar,Audio,West,1,1161.58,1161.58
2024-09-15,ORD-001342,4K Smart TV,Electronics,North,1,1306.77,1306.77
2024-09-15,ORD-001343,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-09-16,ORD-001344,External SSD,Accessories,West,3,188.74,566.22
2024-09-16,ORD-001345,Smart Watch,Wearables,South,3,653.38,1960.14
2024-09-16,ORD-001346,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-09-17,ORD-001347,Smart Watch,Wearables,West,2,653.38,1306.76
2024-09-17,ORD-001348,Smart Hub,Smart Home,East,2,290.38,580.76
2024-09-20,ORD-001349,Studio Speakers,Audio,West,3,871.18,2613.54
2024-09-21,ORD-001350,AR Glasses,Wearables,West,1,1451.97,1451.97
2024-09-24,ORD-001351,Tablet,Electronics,South,3,1016.38,3049.14
2024-09-27,ORD-001352,Webcam,Accessories,North,2,217.78,435.56
2024-09-27,ORD-001353,4K Smart TV,Electronics,East,3,1306.77,3920.31
2024-09-27,ORD-001354,Smart Ring,Wearables,West,3,580.78,1742.34
2024-09-28,ORD-001355,Studio Speakers,Audio,West,2,871.18,1742.36
2024-09-28,ORD-001356,Projector,Electronics,West,2,1161.58,2323.16
2024-09-29,ORD-001357,Smart Watch,Wearables,West,1,653.38,653.38
2024-09-30,ORD-001358,Fitness Tracker,Wearables,South,1,362.98,362.98
2024-10-01,ORD-001359,Laptop Stand,Accessories,North,2,87.1,174.2
2024-10-01,ORD-001360,Noise-Canceling Headphones,Audio,East,1,508.18,508.18
2024-10-01,ORD-001361,Smart Ring,Wearables,North,3,580.78,1742.34
2024-10-02,ORD-001362,Gaming Mouse,Accessories,West,3,145.18,435.54
2024-10-02,ORD-001363,AR Glasses,Wearables,North,2,1451.97,2903.94
2024-10-03,ORD-001364,Gaming Mouse,Accessories,East,3,145.18,435.54
2024-10-03,ORD-001365,Smart Display,Smart Home,East,3,435.58,1306.74
2024-10-03,ORD-001366,Noise-Canceling Headphones,Audio,South,1,508.18,508.18
2024-10-03,ORD-001367,Smart Thermostat,Smart Home,North,2,362.98,725.96
2024-10-04,ORD-001368,AR Glasses,Wearables,West,3,1451.97,4355.91
2024-10-05,ORD-001369,Bluetooth Speaker,Audio,West,2,290.38,580.76
2024-10-06,ORD-001370,Noise-Canceling Headphones,Audio,North,1,508.18,508.18
2024-10-06,ORD-001371,Robot Vacuum,Smart Home,West,3,725.98,2177.94
2024-10-06,ORD-001372,Projector,Electronics,East,2,1161.58,2323.16
2024-10-08,ORD-001373,Monitor,Electronics,East,3,725.98,2177.94
2024-10-08,ORD-001374,Fitness Tracker,Wearables,South,3,362.98,1088.94
2024-10-09,ORD-001375,Fitness Tracker,Wearables,South,1,362.98,362.98
2024-10-09,ORD-001376,Soundbar,Audio,North,2,1161.58,2323.16
2024-10-09,ORD-001377,AR Glasses,Wearables,South,2,1451.97,2903.94
2024-10-10,ORD-001378,Mechanical Keyboard,Accessories,East,1,290.38,290.38
2024-10-10,ORD-001379,Smart Hub,Smart Home,West,3,290.38,871.14
2024-10-10,ORD-001380,Smart Thermostat,Smart Home,South,1,362.98,362.98
2024-10-10,ORD-001381,Smart Watch,Wearables,West,2,653.38,1306.76
2024-10-11,ORD-001382,Webcam,Accessories,South,1,217.78,217.78
2024-10-12,ORD-001383,Studio Speakers,Audio,North,3,871.18,2613.54
2024-10-13,ORD-001384,Monitor,Electronics,East,1,725.98,725.98
2024-10-14,ORD-001385,Soundbar,Audio,South,2,1161.58,2323.16
2024-10-14,ORD-001386,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-10-14,ORD-001387,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-10-15,ORD-001388,Smart Watch,Wearables,South,3,653.38,1960.14
2024-10-16,ORD-001389,USB-C Hub,Accessories,South,1,116.14,116.14
2024-10-17,ORD-001390,Laptop Stand,Accessories,East,3,87.1,261.3
2024-10-17,ORD-001391,Mechanical Keyboard,Accessories,North,1,290.38,290.38
2024-10-18,ORD-001392,Projector,Electronics,East,3,1161.58,3484.74
2024-10-19,ORD-001393,Bluetooth Speaker,Audio,North,2,290.38,580.76
2024-10-22,ORD-001394,Smart Thermostat,Smart Home,East,2,362.98,725.96
2024-10-22,ORD-001395,Robot Vacuum,Smart Home,West,3,725.98,2177.94
2024-10-23,ORD-001396,Smart Ring,Wearables,North,1,580.78,580.78
2024-10-23,ORD-001397,Studio Speakers,Audio,West,2,871.18,1742.36
2024-10-25,ORD-001398,Robot Vacuum,Smart Home,South,2,725.98,1451.96
2024-10-25,ORD-001399,AR Glasses,Wearables,East,3,1451.97,4355.91
2024-10-25,ORD-001400,Robot Vacuum,Smart Home,North,2,725.98,1451.96
2024-10-26,ORD-001401,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-10-26,ORD-001402,Smart Ring,Wearables,South,1,580.78,580.78
2024-10-28,ORD-001403,Laptop Pro,Electronics,West,2,1887.57,3775.14
2024-10-28,ORD-001404,External SSD,Accessories,South,1,188.74,188.74
2024-10-28,ORD-001405,AR Glasses,Wearables,South,1,1451.97,1451.97
2024-10-29,ORD-001406,Smart Thermostat,Smart Home,West,2,362.98,725.96
2024-10-31,ORD-001407,Smart Ring,Wearables,North,1,580.78,580.78
2024-10-31,ORD-001408,Smart Thermostat,Smart Home,South,2,362.98,725.96
2024-11-01,ORD-001409,Bluetooth Speaker,Audio,North,2,290.38,580.76
2024-11-01,ORD-001410,4K Smart TV,Electronics,West,2,1306.77,2613.54
2024-11-02,ORD-001411,Smart Watch,Wearables,West,1,653.38,653.38
2024-11-04,ORD-001412,Wireless Earbuds,Audio,East,3,362.98,1088.94
2024-11-05,ORD-001413,Smart Display,Smart Home,West,1,435.58,435.58
2024-11-05,ORD-001414,Monitor,Electronics,South,3,725.98,2177.94
2024-11-06,ORD-001415,AR Glasses,Wearables,West,1,1451.97,1451.97
2024-11-07,ORD-001416,External SSD,Accessories,East,3,188.74,566.22
2024-11-07,ORD-001417,Laptop Stand,Accessories,North,3,87.1,261.3
2024-11-09,ORD-001418,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-11-12,ORD-001419,AR Glasses,Wearables,South,1,1451.97,1451.97
2024-11-13,ORD-001420,USB-C Hub,Accessories,North,2,116.14,232.28
2024-11-13,ORD-001421,Laptop Pro,Electronics,East,1,1887.57,1887.57
2024-11-14,ORD-001422,Smart Thermostat,Smart Home,South,2,362.98,725.96
2024-11-16,ORD-001423,USB-C Hub,Accessories,East,1,116.14,116.14
2024-11-17,ORD-001424,Webcam,Accessories,West,1,217.78,217.78
2024-11-17,ORD-001425,Laptop Stand,Accessories,East,2,87.1,174.2
2024-11-19,ORD-001426,USB-C Hub,Accessories,West,3,116.14,348.42
2024-11-20,ORD-001427,Webcam,Accessories,North,2,217.78,435.56
2024-11-20,ORD-001428,AR Glasses,Wearables,North,3,1451.97,4355.91
2024-11-21,ORD-001429,Smart Thermostat,Smart Home,North,2,362.98,725.96
2024-11-21,ORD-001430,External SSD,Accessories,South,2,188.74,377.48
2024-11-22,ORD-001431,Monitor,Electronics,South,2,725.98,1451.96
2024-11-23,ORD-001432,Laptop Stand,Accessories,West,3,87.1,261.3
2024-11-23,ORD-001433,Soundbar,Audio,North,1,1161.58,1161.58
2024-11-23,ORD-001434,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-11-24,ORD-001435,Robot Vacuum,Smart Home,South,2,725.98,1451.96
2024-11-25,ORD-001436,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-11-26,ORD-001437,Projector,Electronics,South,1,1161.58,1161.58
2024-11-26,ORD-001438,Webcam,Accessories,West,3,217.78,653.34
2024-11-27,ORD-001439,External SSD,Accessories,South,2,188.74,377.48
2024-11-28,ORD-001440,Smart Thermostat,Smart Home,East,2,362.98,725.96
2024-11-28,ORD-001441,Smart Ring,Wearables,South,1,580.78,580.78
2024-11-29,ORD-001442,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-11-30,ORD-001443,Fitness Tracker,Wearables,West,3,362.98,1088.94
2024-11-30,ORD-001444,Smart Ring,Wearables,East,2,580.78,1161.56
2024-12-01,ORD-001445,Smart Watch,Wearables,West,3,653.38,1960.14
2024-12-02,ORD-001446,Smart Display,Smart Home,East,1,435.58,435.58
2024-12-03,ORD-001447,4K Smart TV,Electronics,North,3,1306.77,3920.31
2024-12-03,ORD-001448,Smart Ring,Wearables,East,3,580.78,1742.34
2024-12-04,ORD-001449,Robot Vacuum,Smart Home,East,1,725.98,725.98
2024-12-04,ORD-001450,Laptop Stand,Accessories,South,2,87.1,174.2
2024-12-05,ORD-001451,Monitor,Electronics,South,3,725.98,2177.94
2024-12-07,ORD-001452,Noise-Canceling Headphones,Audio,South,3,508.18,1524.54
2024-12-07,ORD-001453,Noise-Canceling Headphones,Audio,West,1,508.18,508.18
2024-12-08,ORD-001454,Smart Ring,Wearables,South,1,580.78,580.78
2024-12-08,ORD-001455,Monitor,Electronics,West,1,725.98,725.98
2024-12-08,ORD-001456,Smart Hub,Smart Home,South,3,290.38,871.14
2024-12-09,ORD-001457,AR Glasses,Wearables,North,2,1451.97,2903.94
2024-12-09,ORD-001458,Projector,Electronics,South,3,1161.58,3484.74
2024-12-09,ORD-001459,Laptop Stand,Accessories,North,3,87.1,261.3
2024-12-10,ORD-001460,Studio Speakers,Audio,North,1,871.18,871.18
2024-12-11,ORD-001461,Smart Hub,Smart Home,East,1,290.38,290.38
2024-12-12,ORD-001462,Laptop Pro,Electronics,North,2,1887.57,3775.14
2024-12-14,ORD-001463,AR Glasses,Wearables,West,2,1451.97,2903.94
2024-12-14,ORD-001464,Bluetooth Speaker,Audio,East,2,290.38,580.76
2024-12-15,ORD-001465,Noise-Canceling Headphones,Audio,South,2,508.18,1016.36
2024-12-15,ORD-001466,Smart Display,Smart Home,South,3,435.58,1306.74
2024-12-15,ORD-001467,Projector,Electronics,East,2,1161.58,2323.16
2024-12-16,ORD-001468,Laptop Stand,Accessories,South,1,87.1,87.1
2024-12-17,ORD-001469,Laptop Stand,Accessories,West,2,87.1,174.2
2024-12-18,ORD-001470,Webcam,Accessories,West,1,217.78,217.78
2024-12-19,ORD-001471,Gaming PC,Electronics,West,1,2613.56,2613.56
2024-12-19,ORD-001472,Fitness Tracker,Wearables,East,1,362.98,362.98
2024-12-22,ORD-001473,Robot Vacuum,Smart Home,East,2,725.98,1451.96
2024-12-23,ORD-001474,AR Glasses,Wearables,North,3,1451.97,4355.91
2024-12-25,ORD-001475,AR Glasses,Wearables,South,3,1451.97,4355.91
2024-12-25,ORD-001476,Projector,Electronics,West,1,1161.58,1161.58
2024-12-25,ORD-001477,Fitness Tracker,Wearables,East,2,362.98,725.96
2024-12-26,ORD-001478,Projector,Electronics,East,2,1161.58,2323.16
2024-12-26,ORD-001479,Gaming Mouse,Accessories,South,1,145.18,145.18
2024-12-27,ORD-001480,Robot Vacuum,Smart Home,East,2,725.98,1451.96
2024-12-28,ORD-001481,Smart Thermostat,Smart Home,South,2,362.98,725.96
2024-12-31,ORD-001482,Bluetooth Speaker,Audio,West,1,290.38,290.38
